R.U.N. del Fondo,Nombre Fondo Inversión,Tipo de Fondo de Inversión,R.U.T. Administradora,Fecha Resolución de aprobación del reglamento interno del fondo,Fecha Inicio Operaciones
7258-3,BTG PACTUAL PRIVATE EQUITY - KKR NAXI FONDO DE INVERSION,No Rescatable,96966250-7,31/10/2012,13/09/2013
7179-K,BTG PACTUAL PRIVATE EQUITY - KKR FONDO DE INVERSION,No Rescatable,96966250-7,21/01/2010,9/6/2010
7086-6,BTG PACTUAL PRIVATE EQUITY FONDO DE INVERSION,No Rescatable,96966250-7,10/10/2003,28/01/2004
7104-8,BTG PACTUAL PRIVATE EQUITY II FONDO DE INVERSION,No Rescatable,96966250-7,20/12/2005,20/12/2006
7163-3,BTG PACTUAL PRIVATE EQUITY III FONDO DE INVERSION,No Rescatable,96966250-7,23/12/2008,15/06/2009
7271-0,BTG PACTUAL PRIVATE EQUITY – NB CRXX FONDO DE INVERSION,No Rescatable,96966250-7,12/7/2013,10/11/2014
9678-4,BTG PACTUAL REINSURANCE OPPORTUNITIES V FONDO DE INVERSIÓN,No Rescatable,96966250-7,8/11/2018,14/12/2018
7224-9,BTG PACTUAL RENTA COMERCIAL FONDO DE INVERSION,No Rescatable,96966250-7,25/07/2011,8/9/2011
9631-8,BTG PACTUAL RENTA RESIDENCIAL FONDO DE INVERSIÓN,No Rescatable,96966250-7,6/7/2018,11/9/2018
7018-1,BTG PACTUAL SMALL CAP CHILE FONDO DE INVERSION,No Rescatable,96966250-7,12/7/1995,13/07/1995
7022-K,CHILE FONDO DE INVERSION SMALL CAP,No Rescatable,96767630-6,15/05/1995,14/06/1995
7046-7,CHILETECH FONDO DE INVERSION,No Rescatable,96758230-1,8/1/1998,12/3/1998
9713-6,COMPASS BCP VIII PRIVATE EQUITY FONDO DE INVERSION,No Rescatable,96804330-7,25/01/2019,
9696-2,COMPASS BREP IX REAL ESTATE FONDO DE INVERSION,No Rescatable,96804330-7,6/12/2018,
9731-4,COMPASS CINVEN VII PRIVATE EQUITY FONDO DE INVERSION,No Rescatable,96804330-7,22/03/2019,
9290-8,COMPASS DESARROLLO Y RENTAS FONDO DE INVERSION,No Rescatable,96804330-7,28/01/2016,27/04/2016
9502-8,COMPASS DESARROLLO Y RENTAS II FONDO DE INVERSIÓN,No Rescatable,96804330-7,17/08/2017,28/09/2017
9715-2,COMPASS FCO V PRIVATE DEBT FONDO DE INVERSION,No Rescatable,96804330-7,31/01/2019,
9605-9,COMPASS FRO III PRIVATE EQUITY FONDO DE INVERSION,No Rescatable,96804330-7,25/04/2018,1/4/2019
9165-0,COMPASS GLOBAL INVESTMENTS FONDO DE INVERSION,No Rescatable,96804330-7,28/03/2015,12/5/2015
