,Fecha Inicio Operaciones,Fecha Resolución de aprobación del reglamento interno del fondo,Nombre Fondo Inversión,R.U.N. del Fondo,R.U.T. Administradora,Tipo de Fondo de Inversión
307,30/04/2015,02/05/2015,OFFICE CINCO FONDO DE INVERSION,9182-0,76122579-0,No Rescatable
308,30/04/2015,02/05/2015,OFFICE CUATRO FONDO DE INVERSION,9181-2,76122579-0,No Rescatable
309,30/04/2015,02/05/2015,OFFICE SEIS FONDO DE INVERSION,9183-9,76122579-0,No Rescatable
310,09/08/2018,23/06/2018,PICTON - ACE IV FONDO DE INVERSIÓN,9624-5,76202136-6,No Rescatable
311,13/01/2016,10/12/2014,PICTON - AMERICAN SECURITIES PARTNERS VII FONDO DE INVERSION,9103-0,76202136-6,No Rescatable
312,31/01/2014,21/10/2013,PICTON - APOLLO VIII FONDO DE INVERSION,7279-6,76202136-6,No Rescatable
313,,16/01/2019,PICTON - HAMILTON LANE SMID II FONDO DE INVERSION,9707-1,76202136-6,No Rescatable
314,16/08/2016,02/06/2016,PICTON - HARBOURVEST DOVER IX FULLY FUNDED FONDO DE INVERSION,9327-0,76202136-6,No Rescatable
315,,07/05/2019,PICTON - HBP XIII VENTURE FONDO DE INVERSION,9746-2,76202136-6,No Rescatable
316,26/10/2017,19/01/2016,PICTON - KKR AMERICAS XII FONDO DE INVERSION,9287-8,76202136-6,No Rescatable
317,,07/05/2019,PICTON - KKR EUROPE V FONDO DE INVERSION,9745-4,76202136-6,No Rescatable
318,14/05/2013,21/02/2013,PICTON - WP FONDO DE INVERSIÓN,7262-1,76202136-6,No Rescatable
319,22/03/2019,25/08/2018,PICTON - WPGG FONDO DE INVERSION,9654-7,76202136-6,No Rescatable
320,,15/02/2019,PICTON – EQT INFRASTRUCTURE IV FONDO DE INVERSION,9719-5,76202136-6,No Rescatable
321,,18/07/2018,PICTON – TPG VIII FONDO DE INVERSIÓN,9637-7,76202136-6,No Rescatable
322,,27/01/2018,PICTON-AMERICAN SECURITIES PARTNERS VIII FONDO DE INVERSION,9579-6,76202136-6,No Rescatable
323,26/09/2014,29/04/2014,PICTON-APOLLO COF III FONDO DE INVERSION,7294-K,76202136-6,No Rescatable
324,08/01/2018,29/10/2016,PICTON-APOLLO EPF III FONDO DE INVERSION,9394-7,76202136-6,No Rescatable
325,22/10/2015,25/06/2015,PICTON-EQT VII RV FONDO DE INVERSION,9207-K,76202136-6,No Rescatable
326,08/08/2018,15/02/2018,PICTON-EQT VIII FONDO DE INVERSION,9583-4,76202136-6,No Rescatable
327,29/10/2015,06/05/2015,PICTON-HAMILTON LANE SMID FONDO DE INVERSION,9184-7,76202136-6,No Rescatable
328,09/06/2016,02/04/2016,PICTON-KKR AMERICAS XII FULLY FUNDED FONDO DE INVERSION,9309-2,76202136-6,No Rescatable
329,08/02/2018,18/02/2017,PICTON-KKR ASIA III FONDO DE INVERSION,9424-2,76202136-6,No Rescatable
330,15/05/2018,24/03/2018,PICTON-MIP IV FONDO DE INVERSION,9590-7,76202136-6,No Rescatable
331,27/09/2017,02/09/2017,PICTON-SAVANNA IV FONDO DE INVERSION,9510-9,76202136-6,No Rescatable
332,23/03/2016,27/11/2015,PICTON-TPG VII FONDO DE INVERSION,9264-9,76202136-6,No Rescatable
333,14/12/1993,03/11/1993,PIONERO FONDO DE INVERSION,7010-6,96684990-8,No Rescatable
